,RMSE,MAE,MAPE_pct,R2,interval_halfwidth_usd,interval_coverage_target_pct
GLM_baseline,235651.5752329582,142460.33576873003,81.19451841365563,0.7460612907560336,398488.71862302313,90.0
random_forest,340379.4005610498,159099.70200574558,37.04349011431691,0.4701965870838958,381171.9080389352,90.0
xgboost,249078.76348038408,136317.52372056158,37.16577048893366,0.7162985107889832,236467.15580985913,90.0
elasticnet_interactions,375422.5798080986,194171.98653183552,54.1820656530097,0.3554909902193073,420680.77608871454,90.0
