suburb,n,mean_residual_usd,t_stat,p_value_raw,p_value_bonferroni,systematic_mispricing_flag
Mount Pleasant,5,-183341.15,-2.7852988585792766,0.04954939590884912,0.14864818772654737,False
Marlborough,4,-41450.3359375,-2.9171472176230107,0.06163839282849668,0.18491517848549005,False
Chitungwiza,3,3236.1588541666665,1.2736032522543053,0.3307998572803216,0.9923995718409647,False
